Tiempo,Temperatura
0.033,28.69
1.528,28.87
3.022,29.0
4.517,29.12
6.012,29.12
7.507,29.25
9.001,29.31
10.497,29.37
11.992,29.44
13.486,29.5
14.981,29.56
16.476,29.56
17.971,29.62
19.466,29.62
20.961,29.62
22.455,29.62
23.95,29.62
25.445,29.69
26.94,29.75
28.435,29.75
29.929,29.69
31.424,29.69
32.919,29.75
34.414,29.75
35.909,29.75
37.404,29.75
38.898,29.75
40.393,29.81
41.888,29.75
43.383,29.75
44.878,29.81
46.373,29.75
47.868,29.81
49.362,29.81
50.857,29.81
52.353,29.81
53.848,29.81
55.343,29.75
56.838,29.81
58.333,29.81
59.827,29.81
61.322,29.81
62.817,29.81
64.312,29.75
65.807,29.81
67.302,29.81
68.796,29.81
70.291,29.81
71.786,29.81
73.281,29.75
74.776,29.81
76.271,29.81
77.766,29.81
79.26,29.81
80.755,29.81
82.25,29.81
83.745,29.81
85.24,29.81
86.735,29.75
88.229,29.81
89.724,29.75
91.219,29.75
92.715,29.81
94.21,29.81
95.705,29.81
97.2,29.75
98.695,29.75
100.189,29.81
101.684,29.81
103.179,29.75
104.674,29.81
106.169,29.75
107.664,29.75
109.159,29.75
110.653,29.75
112.148,29.81
113.643,29.75
115.138,29.75
116.633,29.81
118.128,29.81
119.623,29.75
121.118,29.75
122.612,29.69
124.107,29.75
125.602,29.75
127.097,29.81
128.592,29.75
130.087,29.75
131.582,29.75
133.078,29.75
134.572,29.75
136.067,29.75
137.562,29.75
139.057,29.75
140.552,29.75
142.047,29.75
143.542,29.62
145.037,31.0
146.532,33.38
148.027,35.38
149.522,36.88
151.018,38.13
152.514,39.13
154.01,39.94
155.507,40.69
157.003,41.25
158.5,41.69
159.996,42.06
161.494,42.44
162.991,42.69
164.488,42.88
165.985,43.13
167.482,43.25
168.979,43.44
170.476,43.56
171.973,43.63
173.47,43.69
174.967,43.75
176.464,43.88
177.961,43.88
179.46,43.94
180.957,44.0
182.454,44.0
183.951,44.06
185.449,44.06
186.946,44.13
188.443,44.13
189.94,44.13
191.438,44.13
192.935,44.13
194.433,44.13
195.931,44.06
197.428,44.19
198.925,44.13
200.423,44.13
201.92,44.13
203.417,44.13
204.915,44.13
206.412,44.13
207.909,44.13
209.408,44.13
210.905,44.13
212.402,44.06
213.9,44.06
215.397,44.06
216.894,44.06
218.392,44.0
219.889,44.0
221.386,43.88
222.884,42.75
224.381,41.13
225.878,39.94
227.375,39.19
228.871,38.5
230.367,38.06
231.863,37.56
233.36,37.25
234.855,36.94
236.351,36.69
237.847,36.44
239.343,36.25
240.839,36.0
242.335,35.88
243.831,35.75
245.326,35.63
246.822,35.5
248.318,35.38
249.815,35.31
251.31,35.25
252.806,35.13
254.302,35.13
255.797,35.13
257.293,35.0
258.789,35.06
260.284,35.06
261.78,35.0
263.276,34.88
264.771,34.94
266.267,34.94
267.762,34.94
269.258,34.88
270.754,34.81
272.249,34.81
273.745,34.81
275.241,34.81
276.737,34.81
278.233,34.75
279.729,34.81
281.224,34.75
282.72,34.75
284.215,34.75
285.711,34.75
287.207,34.75
288.702,34.69
290.198,34.69
291.693,34.69
293.189,34.63
294.685,34.63
296.18,34.63
297.676,34.63
299.172,34.69
300.667,34.63
302.163,34.69
303.659,34.69
305.155,34.63
306.651,34.63
308.146,34.63
309.642,34.69
311.138,34.69
312.633,34.69
314.129,34.69
315.624,34.63
317.12,34.63
318.615,34.63
320.111,34.63
321.607,34.63
323.102,34.69
324.598,34.69
326.094,34.69
327.589,34.69
329.085,34.69
330.58,34.69
332.077,34.63
333.573,34.63
335.068,34.63
336.564,34.63
338.059,34.63
339.555,34.63
341.051,34.63
342.546,34.63
344.042,34.56
345.537,34.56
347.033,34.63
348.529,34.63
350.024,34.63
351.52,34.63
353.015,34.63
354.511,34.63
356.007,34.56
357.502,34.63
358.999,34.63
360.494,34.63
361.99,34.63
363.486,34.63
364.981,34.63
366.477,34.63
367.972,34.63
369.468,34.63
370.964,34.56
372.459,34.63
373.955,34.56
375.45,34.63
376.946,34.56
378.442,34.63
379.937,34.63
381.433,34.56
382.928,34.56
384.424,34.56
385.921,34.63
387.416,34.63
388.912,34.63
390.407,34.56
391.903,34.56
393.398,34.56
394.894,34.56
396.39,34.56
397.885,34.56
399.381,34.56
400.876,34.56
402.372,34.56
403.868,34.56
405.363,34.56
406.859,34.5
408.354,34.56
409.85,34.56
411.345,34.56
412.841,34.56
414.338,34.5
415.833,34.5
417.329,34.5
418.824,34.5
420.32,34.5
421.816,34.5
423.311,34.5
424.807,34.5
426.302,34.5
427.798,34.5
429.293,34.5
430.789,34.5
432.284,34.5
433.78,34.5
435.276,34.5
436.771,34.5
438.267,34.5
439.762,34.44
441.259,34.5
442.754,34.5
444.25,34.44
445.746,34.5
447.241,34.44
448.737,34.5
450.232,34.5
451.728,34.5
453.223,34.5
454.719,34.44
456.214,34.44
457.71,34.44
459.206,34.44
460.701,34.5
462.197,34.44
463.692,34.5
465.188,34.44
466.684,34.44
