Tiempo,Temperatura
0.033,34.94
0.629,35.13
1.224,35.38
1.82,35.56
2.416,35.69
3.011,35.94
3.607,36.06
4.203,36.38
4.799,36.56
5.395,36.69
5.991,36.88
6.586,37.06
7.182,37.13
7.778,37.25
8.374,37.38
8.97,37.5
9.566,37.56
10.162,37.69
10.758,37.75
11.355,37.81
11.951,37.88
12.547,38.0
13.143,38.0
13.739,38.13
14.334,38.19
14.931,38.19
15.527,38.31
16.123,38.31
16.719,38.38
17.315,38.44
17.911,38.5
18.508,38.44
19.104,38.5
19.7,38.56
20.296,38.63
20.892,38.63
21.489,38.63
22.085,38.69
22.681,38.69
23.277,38.69
23.874,38.69
24.47,38.75
25.066,38.81
25.663,38.81
26.259,38.88
26.855,38.88
27.451,38.94
28.048,38.94
28.644,38.94
29.24,38.94
29.836,38.94
30.433,38.94
31.029,39.0
31.625,39.0
32.222,39.0
32.818,39.06
33.414,39.0
34.01,39.06
34.607,39.06
35.203,39.06
35.799,39.06
36.395,39.06
36.992,39.06
37.587,39.13
38.183,39.06
38.78,39.13
39.376,39.13
39.972,39.06
40.569,39.13
41.165,39.13
41.761,39.19
42.358,39.19
42.954,39.19
43.55,39.13
44.147,39.19
44.743,39.19
45.339,39.19
45.936,39.19
46.532,39.19
47.128,39.19
47.725,39.19
48.321,39.19
48.917,39.19
49.514,39.19
50.11,39.19
50.707,39.19
51.303,39.25
51.899,39.19
52.496,39.19
53.092,39.19
53.688,39.25
54.285,39.25
54.881,39.25
55.477,39.25
56.074,39.25
56.67,39.25
57.266,39.25
57.863,39.25
58.459,39.25
59.055,39.19
59.652,39.25
60.248,39.25
60.845,39.25
61.441,39.25
62.036,39.25
62.633,39.25
63.229,39.19
63.825,39.25
64.422,39.25
65.018,39.25
65.614,39.25
66.211,39.25
66.807,39.25
67.404,39.19
68.0,39.19
68.596,39.19
69.193,39.19
69.789,39.19
70.385,39.19
70.982,39.19
71.578,39.19
72.174,39.19
72.771,39.19
73.367,39.19
73.963,39.25
74.56,39.13
75.156,39.19
75.753,39.19
76.349,39.19
76.945,39.13
77.542,39.19
78.138,39.19
78.734,39.19
79.331,39.19
79.927,39.19
80.524,39.19
81.12,39.13
81.716,39.13
82.313,39.13
82.909,39.19
83.505,39.13
84.102,39.19
84.698,39.13
85.294,39.13
85.891,39.13
86.487,39.19
87.083,39.13
87.68,39.13
88.275,39.13
88.871,39.13
89.468,39.13
90.064,39.06
90.66,39.13
91.257,39.13
91.853,39.13
92.449,39.13
93.046,39.13
93.642,39.13
94.238,39.13
94.835,39.13
95.431,39.13
96.028,39.13
96.624,39.13
97.22,39.13
97.817,39.31
98.413,40.0
99.009,40.81
99.606,41.63
100.203,42.5
100.8,43.31
101.397,44.06
101.995,44.75
102.593,45.38
103.19,46.0
103.788,46.63
104.386,47.19
104.984,47.69
105.583,48.19
106.181,48.63
106.78,49.0
107.378,49.38
107.977,49.69
108.576,50.06
109.175,50.38
109.774,50.63
110.373,50.94
110.972,51.25
111.571,51.5
112.171,51.75
112.77,51.94
113.37,52.13
113.969,52.38
114.569,52.56
115.168,52.69
115.768,52.88
116.367,53.0
116.967,53.13
117.567,53.31
118.167,53.38
118.766,53.5
119.366,53.69
119.966,53.75
120.566,53.81
121.166,53.94
121.766,54.06
122.365,54.13
122.966,54.19
123.566,54.25
124.166,54.31
124.766,54.38
125.366,54.44
125.966,54.5
126.566,54.5
127.167,54.56
127.767,54.63
128.367,54.63
128.967,54.69
129.567,54.75
130.167,54.75
130.767,54.75
131.367,54.75
131.968,54.88
132.568,54.81
133.169,54.88
133.769,54.88
134.369,54.88
134.969,54.94
135.569,54.94
136.169,54.88
136.769,54.88
137.37,54.88
137.97,54.94
138.57,54.94
139.17,54.94
139.77,54.94
140.37,54.94
140.972,55.0
141.572,54.94
142.172,54.94
142.772,54.94
143.372,54.94
143.972,54.94
144.572,54.94
145.173,54.94
145.773,54.94
146.373,54.94
146.973,54.88
147.573,54.88
148.173,54.81
148.773,54.75
149.373,54.75
149.975,54.63
150.575,54.5
151.175,54.38
151.774,54.06
152.374,53.63
152.974,53.13
153.574,52.56
154.173,52.06
154.772,51.56
155.371,51.19
155.97,50.81
156.569,50.38
157.168,50.0
157.767,49.75
158.366,49.38
158.964,49.13
159.563,48.81
160.161,48.63
160.76,48.44
161.358,48.19
161.956,47.94
162.555,47.75
163.153,47.56
163.751,47.44
164.349,47.31
164.947,47.13
165.545,47.0
166.144,46.94
166.742,46.75
167.34,46.69
167.938,46.56
168.536,46.44
169.134,46.38
169.732,46.25
170.33,46.19
170.927,46.06
171.525,46.0
172.123,45.94
172.721,45.81
173.318,45.75
173.916,45.69
174.514,45.69
175.112,45.56
175.709,45.5
176.307,45.44
176.905,45.44
177.502,45.31
178.1,45.38
178.697,45.25
179.295,45.25
179.893,45.19
180.49,45.13
181.088,45.06
181.685,45.06
182.283,45.0
182.881,44.94
183.478,44.94
184.076,44.88
184.673,44.81
185.271,44.81
185.868,44.75
186.466,44.75
187.063,44.69
187.661,44.75
188.258,44.69
188.855,44.63
189.453,44.56
190.05,44.63
190.648,44.56
191.245,44.5
191.843,44.56
192.44,44.44
193.038,44.5
193.635,44.44
194.233,44.38
194.83,44.38
195.427,44.38
196.025,44.31
196.622,44.31
197.22,44.25
197.817,44.31
198.415,44.25
199.012,44.25
199.61,44.25
200.207,44.19
200.805,44.25
201.402,44.19
201.999,44.19
202.597,44.19
203.194,44.13
203.792,44.13
204.389,44.13
204.986,44.13
205.584,44.13
206.181,44.06
206.779,44.06
207.376,44.06
207.973,44.06
208.571,44.0
209.168,44.06
209.766,44.06
210.363,44.06
210.96,44.0
211.558,44.06
212.155,44.0
212.752,44.0
213.35,43.94
213.947,44.0
214.545,43.94
215.142,43.94
215.739,43.94
216.337,43.94
216.934,43.94
217.531,43.88
218.129,43.88
218.726,43.94
219.323,43.88
219.921,43.88
220.518,43.88
221.115,43.88
221.713,43.88
222.31,43.81
222.907,43.88
223.505,43.81
224.102,43.81
224.699,43.88
225.297,43.88
225.894,43.81
226.491,43.81
227.089,43.81
227.686,43.81
228.283,43.81
228.881,43.81
229.478,43.81
230.075,43.81
230.673,43.81
231.27,43.81
231.867,43.75
232.465,43.81
233.062,43.81
233.659,43.75
234.257,43.75
234.854,43.75
235.451,43.75
236.048,43.75
236.646,43.75
237.243,43.75
237.84,43.75
238.438,43.69
239.035,43.75
239.632,43.75
240.23,43.69
240.827,43.69
241.424,43.69
242.022,43.69
242.619,43.69
243.216,43.69
243.814,43.69
244.411,43.69
245.008,43.75
245.605,43.69
246.203,43.69
246.8,43.69
247.397,43.69
