Tiempo,Temperatura
0.033,25.69
1.527,25.75
3.022,25.87
4.516,25.87
6.011,25.87
7.505,25.94
9.0,26.06
10.494,26.0
11.99,26.06
13.484,26.06
14.979,26.12
16.473,26.12
17.968,26.12
19.462,26.12
20.957,26.19
22.452,26.19
23.946,26.25
25.441,26.19
26.935,26.19
28.43,26.25
29.924,26.25
31.419,26.25
32.913,26.25
34.408,26.25
35.902,26.19
37.397,26.25
38.891,26.25
40.386,26.25
41.88,26.19
43.375,26.31
44.87,26.25
46.364,26.25
47.859,26.31
49.353,26.25
50.848,26.25
52.342,26.25
53.837,26.31
55.332,26.25
56.826,26.19
58.321,26.19
59.815,26.25
61.31,26.25
62.804,26.25
64.3,26.25
65.794,26.19
67.289,26.19
68.783,26.25
70.278,26.25
71.772,26.19
73.267,26.25
74.762,26.19
76.256,26.19
77.751,26.25
79.245,26.25
80.74,26.25
82.235,26.25
83.729,26.19
85.224,26.25
86.718,26.19
88.213,26.25
89.707,26.25
91.202,26.25
92.696,26.25
94.191,26.25
95.685,26.25
97.18,26.25
98.675,26.25
100.169,26.25
101.664,26.25
103.158,26.25
104.653,26.25
106.148,26.19
107.642,26.19
109.137,26.19
110.631,26.25
112.126,26.25
113.622,26.19
115.116,26.25
116.611,26.25
118.105,26.31
119.6,26.25
121.095,26.31
122.589,26.25
124.084,26.25
125.578,26.25
127.073,26.25
128.568,26.25
130.062,26.19
131.557,26.25
133.051,26.25
134.546,26.25
136.041,26.19
137.535,26.19
139.03,26.25
140.524,26.19
142.019,26.19
143.514,26.19
145.008,26.19
146.503,26.19
147.998,26.12
149.492,27.25
150.987,28.31
152.482,29.25
153.977,29.94
155.472,30.44
156.966,30.75
158.462,31.06
159.958,31.62
161.453,32.25
162.948,32.81
164.443,33.38
165.939,33.75
167.434,34.13
168.929,34.38
170.425,34.56
171.92,34.75
173.416,34.94
174.911,35.06
176.407,35.19
177.902,35.31
179.398,35.38
180.893,35.44
182.389,35.5
183.884,35.56
185.38,35.56
186.876,35.63
188.371,35.63
189.868,35.75
191.363,35.69
192.859,35.69
194.355,35.75
195.85,35.75
197.346,35.75
198.841,35.75
200.337,35.75
201.833,35.81
203.328,35.75
204.824,35.75
206.319,35.75
207.815,35.75
209.311,35.69
210.806,35.69
212.302,35.69
213.797,35.69
215.293,35.63
216.79,35.56
218.285,35.38
219.781,35.13
221.276,34.88
222.772,34.56
224.267,34.19
225.763,33.63
227.258,33.13
228.753,32.81
230.249,32.56
231.744,32.25
233.239,32.0
234.734,31.87
236.229,31.69
237.724,31.62
239.219,31.44
240.714,31.31
242.209,31.25
243.704,31.19
245.199,31.06
246.694,31.0
248.189,30.94
249.684,30.94
251.18,30.81
252.675,30.81
254.17,30.75
255.665,30.75
257.16,30.69
258.655,30.75
260.15,30.75
261.645,30.69
263.14,30.69
264.635,30.62
266.13,30.69
267.625,30.69
269.12,30.69
270.615,30.62
272.11,30.56
273.605,30.56
275.1,30.62
276.595,30.62
278.09,30.62
279.585,30.62
281.08,30.56
282.575,30.56
284.07,30.62
285.565,30.5
287.06,30.56
288.556,30.56
290.051,30.56
291.546,30.56
293.04,30.56
294.535,30.56
296.03,30.62
297.525,30.56
299.02,30.56
300.515,30.5
302.01,30.56
303.505,30.56
305.0,30.56
306.495,30.5
307.99,30.56
309.485,30.5
310.98,30.5
312.475,30.5
313.97,30.5
315.465,30.5
316.959,30.5
318.454,30.5
319.949,30.56
321.444,30.5
322.939,30.5
324.434,30.5
325.929,30.44
327.425,30.5
328.92,30.5
330.415,30.5
331.91,30.5
333.405,30.44
334.9,30.5
336.395,30.5
337.889,30.5
339.384,30.5
340.879,30.44
342.374,30.44
343.869,30.44
345.364,30.44
346.859,30.44
348.354,30.44
349.849,30.5
351.344,30.5
352.839,30.44
354.334,30.44
355.829,30.44
357.324,30.44
358.819,30.37
360.314,30.37
361.808,30.44
363.303,30.44
364.798,30.44
366.294,30.44
367.789,30.37
369.284,30.44
370.779,30.44
372.274,30.44
373.769,30.44
375.264,30.5
376.759,30.37
378.254,30.44
379.749,30.44
381.244,30.44
382.739,30.44
384.233,30.37
385.728,30.44
