Tiempo,Temperatura
1054.384,32.06
1054.979,32.13
1055.574,32.13
0.033,32.13
0.628,32.13
1.223,32.13
1.818,32.13
2.414,32.19
3.009,32.19
3.604,32.13
4.199,32.13
4.794,32.06
5.39,32.13
5.985,32.13
6.58,32.19
7.175,32.13
7.77,32.19
8.366,32.13
8.961,32.13
9.555,32.13
10.15,32.13
10.745,32.13
11.341,32.13
11.936,32.13
12.531,32.13
13.126,32.06
13.722,32.06
14.317,32.06
14.912,32.06
15.507,32.13
16.103,32.06
16.698,32.13
17.293,32.13
17.888,32.13
18.483,32.06
19.079,32.0
19.674,32.13
20.269,32.13
20.864,32.06
21.459,32.13
22.054,32.13
22.649,32.13
23.244,32.13
23.84,32.13
24.435,32.13
25.03,32.13
25.625,32.13
26.221,32.13
26.816,32.13
27.411,32.13
28.006,32.13
28.602,32.13
29.197,32.13
29.792,32.06
30.387,32.06
30.983,32.06
31.578,32.13
32.173,32.13
32.768,32.13
33.363,32.13
33.958,32.13
34.553,32.13
35.148,32.13
35.743,32.13
36.339,32.13
36.934,32.06
37.529,32.13
38.124,32.13
38.72,32.13
39.315,32.06
39.91,32.13
40.505,32.13
41.101,32.13
41.696,32.13
42.291,32.13
42.886,32.13
43.482,32.13
44.077,32.13
44.672,32.13
45.266,32.06
45.862,32.06
46.457,32.13
47.052,32.06
47.647,32.06
48.242,32.13
48.838,32.06
49.433,32.13
50.028,32.13
50.623,32.13
51.219,32.13
51.814,32.13
52.409,32.13
53.004,32.06
53.6,32.06
54.195,32.13
54.79,32.13
55.385,32.06
55.981,32.13
56.576,32.06
57.17,32.13
57.765,32.13
58.361,32.13
58.956,32.06
59.551,32.06
60.146,32.06
60.742,32.06
61.337,32.13
61.932,32.13
62.527,32.13
63.123,32.06
63.718,32.06
64.313,32.0
64.908,32.06
65.504,32.06
66.099,32.06
66.694,32.06
67.289,32.06
67.885,32.06
68.48,32.06
69.074,32.06
69.669,32.06
70.265,32.06
70.86,32.06
71.455,32.13
72.05,32.13
72.645,32.06
73.241,32.0
73.836,32.25
74.431,33.63
75.027,35.56
75.623,37.69
76.219,39.63
76.815,41.5
77.412,43.19
78.01,44.69
78.607,46.13
79.205,47.38
79.803,48.5
80.402,49.5
81.001,50.5
81.6,51.31
82.199,52.06
82.799,52.81
83.398,53.44
