Tiempo,Temperatura
0.033,19.0
0.627,19.0
1.222,19.0
1.816,19.0
2.41,19.0
3.005,19.0
3.599,19.06
4.193,19.0
4.788,19.0
5.382,19.0
5.977,19.0
6.571,18.94
7.164,19.0
7.759,19.06
8.353,19.0
8.947,19.0
9.542,19.0
10.136,19.0
10.731,19.0
11.325,19.0
11.919,19.06
12.514,19.06
13.108,19.0
13.703,19.0
14.297,19.0
14.891,19.0
15.485,19.0
16.079,19.0
16.674,19.0
17.268,19.0
17.863,19.0
18.457,19.0
19.051,19.0
19.646,19.0
20.24,19.0
20.834,19.0
21.429,19.0
22.023,19.06
22.618,19.0
23.212,19.0
23.805,19.0
24.4,19.0
24.994,19.06
25.589,19.0
26.183,19.0
26.778,19.0
27.372,19.0
27.967,19.0
28.561,19.0
29.155,19.06
29.75,19.0
30.344,19.0
30.939,19.0
31.533,19.0
32.126,19.0
32.721,19.06
33.315,19.0
33.91,19.0
34.504,19.0
35.098,19.06
35.693,19.0
36.287,19.0
36.882,18.94
37.476,18.94
38.071,19.0
38.665,19.0
39.259,18.94
39.854,18.94
40.448,19.0
41.042,18.94
41.636,19.0
42.231,19.0
42.825,19.06
43.419,19.0
44.014,19.0
44.608,19.0
45.202,19.0
45.797,19.0
46.391,19.0
46.986,19.0
47.58,19.0
48.175,19.0
48.769,19.0
49.362,19.06
49.957,19.0
50.551,19.0
51.146,19.0
51.74,19.0
52.334,19.0
52.929,19.0
53.523,19.0
54.118,19.0
54.712,19.0
55.307,19.0
55.901,19.0
56.495,19.0
57.09,19.0
57.683,19.0
58.278,19.0
58.872,19.0
59.466,19.0
60.061,19.0
60.655,18.94
61.25,18.81
61.844,18.75
62.439,18.62
63.033,18.62
63.628,18.56
64.222,18.56
64.816,18.56
65.411,18.56
66.004,18.56
66.599,18.62
67.193,18.62
67.788,18.69
68.382,18.62
68.976,18.62
69.571,18.62
70.165,18.62
70.76,18.69
71.354,18.62
71.949,18.56
72.543,18.44
73.137,18.44
73.732,18.44
74.326,18.44
74.92,18.37
75.514,18.31
76.109,18.31
76.703,18.25
77.297,18.25
77.892,18.19
78.486,18.19
79.081,18.06
79.675,17.94
80.269,17.87
80.864,17.75
81.458,17.56
82.053,17.37
82.647,17.25
83.24,17.06
83.835,16.87
84.429,16.75
85.024,16.5
85.618,16.37
86.213,16.25
86.807,16.06
87.401,15.94
87.996,15.81
88.59,15.63
89.185,15.5
89.779,15.44
90.374,15.25
90.968,15.19
91.561,15.06
92.156,15.0
92.75,14.94
93.345,14.88
93.939,14.81
94.534,14.75
95.128,14.69
95.723,14.63
96.317,14.63
96.912,14.56
97.506,14.5
98.101,14.5
98.695,14.44
99.29,14.38
99.884,14.38
100.478,14.31
101.072,14.31
101.667,14.25
102.261,14.25
102.856,14.25
103.45,14.19
104.045,14.25
104.639,14.19
105.234,14.13
105.828,14.19
106.423,14.13
107.017,14.19
107.612,14.13
108.207,14.13
108.801,14.06
109.395,14.06
109.989,14.06
110.584,14.06
111.178,14.06
111.773,14.0
112.368,14.0
112.962,14.0
113.557,14.06
114.151,14.0
114.746,14.0
115.34,14.0
115.935,14.0
116.529,14.0
117.124,14.0
117.718,14.0
118.312,14.0
118.906,14.0
119.501,14.06
120.095,13.94
120.69,14.0
121.285,13.94
121.879,13.94
122.474,13.94
123.068,13.94
123.663,13.94
124.257,14.0
124.852,13.88
125.446,13.88
126.041,13.88
126.635,13.88
127.229,13.88
127.823,13.88
128.418,13.88
129.012,13.88
129.607,13.81
130.202,13.81
130.796,13.81
131.391,13.81
131.985,13.75
132.58,13.75
133.174,13.75
133.769,13.81
134.363,13.75
134.958,13.75
135.552,13.69
136.146,13.69
136.741,13.69
137.335,13.69
137.93,13.63
138.524,13.63
139.119,13.69
139.714,13.63
140.308,13.63
140.903,13.69
141.497,13.69
142.092,13.69
142.686,13.63
143.281,13.63
143.876,13.63
144.47,13.63
145.064,13.63
145.658,13.63
146.253,13.63
146.847,13.56
147.442,13.63
148.037,13.63
148.631,13.56
149.226,13.56
149.82,13.63
150.415,13.56
151.01,13.56
151.604,13.56
152.199,13.56
152.793,13.56
153.388,13.56
153.982,13.56
154.576,13.56
155.171,13.56
155.765,13.56
156.36,13.5
156.954,13.56
157.549,13.5
158.144,13.5
158.738,13.56
159.333,13.5
159.927,13.44
160.522,13.5
161.116,13.44
161.711,13.44
162.306,13.5
162.899,13.44
163.494,13.44
164.088,13.44
164.683,13.44
165.278,13.44
165.872,13.38
166.467,13.31
167.061,13.31
167.656,13.38
168.25,13.31
168.845,13.31
169.44,13.25
170.034,13.25
170.629,13.25
171.223,13.25
171.817,13.19
172.412,13.19
173.006,13.13
173.601,13.13
174.195,13.13
174.79,13.13
175.385,13.13
175.979,13.06
176.574,13.06
177.169,13.06
177.763,13.06
178.358,13.0
178.952,13.0
179.547,13.0
180.142,13.0
180.736,13.0
181.33,12.94
181.924,12.88
182.519,12.88
183.114,12.88
183.708,12.88
184.303,12.81
184.898,12.81
185.492,12.81
186.087,12.81
186.681,12.81
187.276,12.75
187.871,12.81
188.465,12.75
189.06,12.75
189.654,12.69
190.248,12.63
190.843,12.56
191.437,12.56
192.032,12.5
192.627,12.44
193.221,12.44
193.816,12.44
194.41,12.38
195.005,12.38
195.6,12.31
196.194,12.25
196.789,12.25
197.384,12.25
197.978,12.25
198.573,12.25
199.168,12.25
199.761,12.19
200.356,12.25
200.951,12.19
201.545,12.19
202.14,12.13
