Tiempo,Temperatura
0.033,32.94
1.528,33.0
3.023,33.19
4.519,33.25
6.014,33.38
7.51,33.38
9.005,33.44
10.501,33.56
11.996,33.56
13.492,33.63
14.987,33.69
16.482,33.69
17.978,33.75
19.473,33.75
20.968,33.81
22.464,33.81
23.959,33.81
25.455,33.88
26.95,33.88
28.445,33.94
29.941,33.94
31.436,34.0
32.932,34.0
34.427,33.94
35.922,33.94
37.419,34.0
38.914,34.0
40.41,34.0
41.905,34.0
43.401,34.0
44.896,34.0
46.391,34.0
47.887,34.06
49.382,34.0
50.878,34.0
52.373,34.0
53.869,34.06
55.364,34.0
56.859,34.0
58.355,34.0
59.85,34.0
61.346,34.0
62.841,34.0
64.337,34.0
65.832,34.0
67.328,34.0
68.824,34.0
70.319,33.94
71.815,33.94
73.31,34.0
74.806,34.0
76.301,34.0
77.797,34.0
79.292,33.94
80.787,34.0
82.283,33.94
83.778,34.0
85.274,34.06
86.769,34.0
88.264,33.94
89.76,34.0
91.255,33.94
92.751,33.94
94.246,34.0
95.742,33.94
97.238,33.94
98.733,33.94
100.229,34.0
101.724,33.94
103.22,33.94
104.715,33.94
106.211,33.94
107.706,33.94
109.202,33.94
110.697,34.38
112.193,36.75
113.689,39.0
115.185,40.81
116.682,42.25
118.179,43.5
119.676,44.44
121.174,45.19
122.672,45.94
124.17,46.56
125.668,47.13
127.166,47.56
128.664,47.94
130.162,48.25
131.661,48.56
133.159,48.81
134.659,49.0
136.157,49.19
137.656,49.38
139.154,49.5
140.653,49.63
142.152,49.69
143.65,49.81
145.149,49.88
146.649,49.94
148.148,50.0
149.646,50.06
151.145,50.13
152.644,50.19
154.143,50.25
155.642,50.25
157.142,50.38
158.64,50.31
160.139,50.31
161.638,50.38
163.137,50.38
164.636,50.38
166.135,50.38
167.634,50.31
169.133,50.31
170.632,50.31
172.131,50.25
173.63,50.31
175.129,50.31
176.627,50.25
178.126,50.31
179.625,50.25
181.125,50.19
182.624,50.13
184.122,50.13
185.621,50.06
187.12,50.06
188.619,49.94
190.118,49.63
191.617,49.0
193.116,48.38
194.614,47.75
196.112,46.5
197.61,45.63
199.108,44.88
200.605,44.25
202.102,43.81
203.6,43.38
205.097,43.06
206.595,42.75
208.092,42.38
209.589,42.19
211.086,41.94
212.583,41.75
214.08,41.63
215.577,41.44
217.073,41.31
218.57,41.25
220.067,41.13
221.564,41.06
223.062,40.94
224.558,40.94
226.055,40.81
227.552,40.75
229.048,40.75
230.545,40.69
232.042,40.69
233.538,40.69
235.035,40.63
236.532,40.56
238.028,40.5
239.525,40.5
241.021,40.5
242.519,40.5
244.016,40.5
245.512,40.44
247.009,40.44
248.505,40.44
250.002,40.44
251.498,40.38
252.995,40.38
254.492,40.38
255.988,40.31
257.485,40.31
258.981,40.31
260.478,40.31
261.976,40.31
263.472,40.25
264.969,40.25
266.465,40.25
267.962,40.19
269.458,40.19
270.955,40.19
272.451,40.19
273.948,40.13
275.445,40.19
276.941,40.19
278.438,40.19
279.934,40.13
281.432,40.19
282.928,40.19
284.425,40.13
285.921,40.25
287.418,40.25
288.914,40.25
290.411,40.25
291.908,40.25
293.404,40.25
294.901,40.25
296.397,40.25
297.894,40.25
299.39,40.25
300.888,40.25
302.384,40.25
303.881,40.25
305.377,40.25
306.874,40.25
308.371,40.25
309.867,40.25
311.364,40.19
312.86,40.19
314.357,40.25
315.853,40.25
317.35,40.25
318.846,40.19
320.344,40.25
321.84,40.19
323.337,40.19
324.834,40.19
326.33,40.19
327.827,40.19
329.323,40.25
330.82,40.19
332.316,40.19
333.813,40.19
335.309,40.19
336.806,40.19
338.304,40.19
339.8,40.19
341.297,40.19
342.793,40.19
344.29,40.19
345.786,40.25
347.283,40.19
348.779,40.19
350.276,40.19
351.772,40.13
353.269,40.13
354.765,40.25
356.262,40.19
357.758,40.19
359.256,40.19
360.752,40.13
362.249,40.13
363.746,40.13
365.242,40.13
366.739,40.13
368.235,40.13
369.732,40.13
371.228,40.13
