Tiempo,Temperatura
0.033,22.87
0.627,22.87
1.222,22.87
1.816,22.94
2.41,22.87
3.005,22.94
3.599,22.87
4.194,22.94
4.788,22.94
5.382,22.94
5.977,22.94
6.571,22.94
7.164,22.94
7.759,22.94
8.353,22.87
8.948,22.94
9.542,22.94
10.137,22.94
10.731,22.94
11.325,22.94
11.92,22.87
12.514,22.94
13.109,22.94
13.703,22.87
14.298,22.94
14.892,22.94
15.486,22.94
16.08,22.94
16.674,22.87
17.269,22.87
17.863,22.87
18.458,22.94
19.052,22.87
19.647,22.87
20.241,22.87
20.835,22.87
21.43,22.94
22.024,22.87
22.619,22.94
23.213,22.87
23.806,22.94
24.401,22.94
24.995,22.94
25.59,22.87
26.184,22.87
26.779,22.94
27.373,22.87
27.968,22.87
28.562,22.87
29.157,22.87
29.751,22.87
30.345,22.81
30.94,22.94
31.534,22.87
32.129,22.87
32.722,22.94
33.317,22.87
33.911,22.87
34.505,22.87
35.1,22.87
35.694,22.87
36.289,22.87
36.883,22.87
37.477,22.81
38.072,22.87
38.666,22.87
39.261,22.87
39.855,22.87
40.449,22.87
41.043,22.87
41.637,22.87
42.232,22.87
42.826,22.87
43.421,22.87
44.015,22.87
44.609,22.87
45.204,22.87
45.798,22.87
46.393,22.81
46.987,22.81
47.582,22.81
48.176,22.87
48.77,22.87
49.364,22.81
49.958,22.87
50.553,22.87
51.147,22.87
51.742,22.87
52.336,22.87
52.931,22.81
53.525,22.81
54.119,22.87
54.714,22.87
55.308,22.81
55.903,22.81
56.497,22.87
57.092,22.81
57.686,22.87
58.28,22.87
58.874,22.87
59.468,22.81
60.063,22.87
60.657,22.87
61.252,22.87
61.846,22.87
62.44,22.87
63.035,22.81
63.62899999999999,22.87
64.224,22.87
64.818,22.81
65.413,22.81
66.007,22.81
66.601,22.81
67.195,22.81
67.79,22.81
68.384,22.94
68.978,22.81
69.573,22.87
70.167,22.81
70.761,22.87
71.356,22.87
71.95,22.87
72.545,22.87
73.139,22.87
73.734,22.87
74.328,22.87
74.923,22.87
75.516,22.81
76.11,22.87
76.705,22.81
77.299,22.94
77.894,22.87
78.488,22.87
79.083,22.87
79.677,22.87
80.272,22.81
80.866,22.87
81.461,22.81
82.055,22.87
82.649,22.87
83.244,22.87
83.837,22.87
84.432,22.87
85.026,22.81
85.621,22.87
86.215,22.81
86.81,22.87
87.404,22.81
87.999,22.81
88.593,22.81
89.188,22.81
89.782,22.81
90.376,22.81
90.971,22.81
91.565,22.81
92.16,22.81
92.753,22.81
93.348,22.87
93.942,22.87
94.537,22.87
95.131,22.81
95.725,22.87
96.32,22.81
96.914,22.87
97.509,22.81
98.103,22.81
98.698,22.87
99.292,22.81
99.886,22.81
100.481,22.81
101.074,22.81
101.669,22.81
102.263,22.81
102.858,22.81
103.452,22.87
104.046,22.81
104.641,22.75
105.235,22.81
105.83,22.87
106.424,22.81
107.019,22.81
107.613,22.81
108.208,22.87
108.802,22.81
109.396,22.81
109.99,22.87
110.585,22.81
111.179,22.81
111.774,22.81
112.368,22.75
112.963,22.75
113.557,22.81
114.152,22.81
114.746,22.75
115.34,22.81
115.935,22.81
116.529,22.81
117.124,22.75
117.718,22.75
118.312,22.81
118.906,22.81
119.501,22.81
120.095,22.81
120.69,22.81
121.284,22.81
121.879,22.81
122.473,22.81
123.068,22.81
123.662,22.81
124.257,22.75
124.851,22.81
125.446,22.75
126.04,22.81
126.63499999999999,22.75
127.22800000000001,22.87
127.823,22.75
128.417,22.81
129.012,22.81
129.606,22.81
130.201,22.81
130.795,22.75
131.39,22.81
131.984,22.81
132.579,22.81
133.173,22.81
133.768,22.81
134.362,22.81
134.957,22.81
135.55,22.87
136.144,22.81
136.739,22.81
137.333,22.81
137.928,22.81
138.522,22.81
139.117,22.87
139.711,22.81
140.306,22.81
140.9,22.81
141.495,22.81
142.089,22.81
142.684,22.81
143.278,22.81
143.873,22.87
144.466,22.81
145.061,22.81
145.655,22.75
146.25,22.81
146.844,22.87
147.438,22.81
148.033,22.81
148.627,22.81
149.222,22.81
149.816,22.81
150.411,22.87
151.005,22.81
151.6,22.81
152.194,22.81
152.788,22.81
153.382,22.81
153.977,22.81
154.571,22.75
155.166,22.75
155.76,22.81
156.355,22.75
156.949,22.75
157.544,22.81
158.138,22.75
158.732,22.81
159.327,22.75
159.921,22.81
160.516,22.81
161.11,22.75
161.704,22.75
162.298,22.75
162.893,22.81
