Tiempo,Temperatura
0.033,21.62
1.527,21.56
3.021,21.5
4.516,21.5
6.01,21.44
7.504,21.5
8.999,21.5
10.493,21.5
11.987,21.5
13.483,21.5
14.977,21.44
16.471,21.5
17.966,21.5
19.46,21.5
20.955,21.5
22.449,21.56
23.943,21.56
25.437,21.62
26.932,21.69
28.426,21.69
29.921,21.75
31.415,21.75
32.909,21.81
34.403,21.87
35.898,21.87
37.392,21.87
38.886,21.81
40.381,21.87
41.875,21.87
43.37,21.81
44.864,21.94
46.358,21.87
47.853,21.87
49.347,21.94
50.841,21.87
52.336,21.87
53.83,21.87
55.324,21.87
56.819,21.87
58.313,21.94
59.807,21.94
61.302,21.94
62.796,21.94
64.291,21.94
65.785,21.94
67.279,21.87
68.774,21.94
70.268,21.94
71.762,21.87
73.257,21.94
74.752,21.87
76.246,21.94
77.741,21.94
79.235,21.94
80.73,21.87
82.224,21.94
83.718,21.94
85.213,21.94
86.707,21.87
88.201,21.94
89.696,21.94
91.19,21.94
92.684,21.94
94.179,21.94
95.673,21.94
97.167,21.94
98.662,21.94
100.156,21.94
101.65,21.87
103.145,21.87
104.639,21.94
106.134,21.87
107.628,21.94
109.122,21.87
110.617,21.94
112.111,21.87
113.606,21.87
115.1,21.94
116.594,21.87
118.089,21.87
119.583,21.87
121.078,21.87
122.572,21.87
124.066,21.87
125.561,21.87
127.055,21.87
128.55,21.94
130.044,21.94
131.538,21.94
133.033,21.87
134.528,21.87
136.023,21.94
137.517,21.87
139.011,21.87
140.506,21.94
142.0,21.94
143.495,21.94
144.989,21.87
146.483,21.94
147.978,21.94
149.472,21.94
150.967,21.94
152.461,21.94
153.955,21.94
155.45,21.94
156.944,21.94
158.439,21.94
159.933,21.94
161.427,21.87
162.922,21.87
164.416,21.94
165.911,21.94
167.405,21.94
168.899,21.87
170.394,21.87
171.888,21.87
173.382,21.87
174.877,21.87
176.371,21.87
177.866,21.87
179.36,21.87
180.855,21.94
182.349,21.94
183.843,21.94
185.338,21.94
186.832,21.94
188.327,21.87
189.821,21.87
191.315,23.0
192.811,24.25
194.305,25.5
195.8,26.37
197.295,27.06
198.789,28.0
200.284,28.75
201.779,29.37
203.274,29.87
204.769,30.31
206.264,30.62
207.759,30.94
209.254,31.19
210.749,31.37
212.244,31.62
213.739,31.75
215.234,31.87
216.729,32.0
218.224,32.06
219.72,32.25
221.215,32.31
222.71,32.31
224.205,32.38
225.7,32.38
227.195,32.44
228.691,32.5
230.187,32.38
231.682,32.31
233.177,32.19
234.672,32.0
236.167,31.44
237.662,30.62
239.157,30.0
240.652,29.5
242.147,29.06
243.642,28.69
245.137,28.37
246.631,28.12
248.126,27.87
249.621,27.69
251.116,27.56
252.61,27.44
254.105,27.37
255.6,27.31
257.094,27.25
258.589,27.25
260.084,27.19
261.578,27.06
263.073,27.06
264.568,27.0
266.062,27.0
267.557,26.87
269.052,26.94
270.546,26.87
272.041,26.87
273.537,26.87
275.031,26.81
276.526,26.81
278.021,26.81
279.515,26.87
281.01,26.87
282.504,26.81
283.999,26.75
285.494,26.75
286.988,26.75
288.483,26.81
289.978,26.75
291.472,26.81
292.967,26.75
294.461,26.69
295.956,26.69
297.451,26.69
298.945,26.75
300.44,26.69
301.935,26.69
303.429,26.69
304.924,26.62
306.419,26.69
307.913,26.69
309.408,26.62
310.902,26.69
312.397,26.62
313.892,26.62
315.386,26.69
316.881,26.62
318.376,26.62
319.87,26.62
321.366,26.62
322.86,26.62
324.355,26.69
325.85,26.69
327.344,26.69
328.839,26.69
330.334,26.69
331.828,26.62
333.323,26.69
334.817,26.56
336.312,26.62
337.807,26.62
339.301,26.56
340.796,26.62
342.291,26.62
343.785,26.69
345.28,26.69
346.774,26.62
348.269,26.62
349.764,26.62
351.258,26.62
352.753,26.62
354.248,26.56
355.742,26.62
357.237,26.62
358.732,26.62
360.226,26.56
361.721,26.56
363.216,26.56
364.71,26.62
366.205,26.62
367.7,26.56
369.195,26.62
370.69,26.62
372.185,26.62
373.679,26.62
375.174,26.56
376.669,26.62
378.163,26.62
379.658,26.69
381.153,26.56
382.647,26.69
384.142,26.62
385.637,26.62
387.131,26.62
388.626,26.62
390.12,26.56
391.615,26.62
393.11,26.56
394.604,26.62
396.099,26.56
397.594,26.56
399.088,26.62
400.583,26.62
402.078,26.56
403.572,26.62
405.067,26.62
406.561,26.56
408.056,26.62
409.551,26.62
411.045,26.62
412.54,26.56
414.034,26.56
415.529,26.62
417.025,26.56
418.519,26.62
420.014,26.56
421.509,26.56
423.003,26.56
424.498,26.56
425.992,26.56
427.487,26.62
428.982,26.56
430.476,26.56
431.971,26.56
433.465,26.62
434.96,26.56
436.455,26.56
437.949,26.56
439.444,26.56
440.938,26.56
442.433,26.56
443.928,26.56
445.422,26.56
446.917,26.56
448.412,26.56
449.906,26.56
451.401,26.62
452.895,26.56
454.39,26.56
455.885,26.56
457.379,26.5
458.874,26.56
460.368,26.56
461.863,26.56
463.358,26.56
464.852,26.56
466.348,26.56
467.842,26.62
469.337,26.56
470.831,26.56
472.326,26.62
473.82,26.56
475.315,26.56
476.81,26.56
478.304,26.56
