Tiempo,Temperatura
596.572,48.94
598.07,48.94
599.569,48.88
601.067,48.88
602.566,48.88
604.064,48.88
605.563,48.88
607.062,48.81
608.56,48.88
610.059,48.81
611.557,48.81
613.056,48.81
614.554,48.81
616.053,48.81
617.551,48.81
619.049,48.88
620.549,48.81
622.047,48.81
623.546,48.81
625.044,48.81
626.542,48.81
628.041,48.81
629.539,48.81
631.038,48.75
632.537,48.75
634.035,48.81
635.534,48.81
637.032,48.75
638.53,48.69
640.029,48.75
641.527,48.75
643.026,48.75
644.525,48.75
646.023,48.75
647.522,48.69
649.02,48.69
650.518,48.69
652.017,48.69
653.515,48.69
655.013,48.69
656.513,48.75
658.011,48.69
659.509,48.69
661.008,48.69
