Tiempo,Temperatura
0.033,39.13
1.529,39.19
3.025,39.19
4.523,39.25
6.019,39.31
7.515,39.25
9.011,39.31
10.508,39.31
12.004,39.38
13.5,39.38
14.997,39.38
16.493,39.38
17.989,39.38
19.486,39.44
20.982,39.44
22.478,39.44
23.975,39.44
25.472,39.44
26.968,39.38
28.465,39.38
29.961,39.38
31.457,39.44
32.954,39.44
34.45,39.44
35.946,39.44
37.443,39.44
38.939,39.44
40.435,39.5
41.932,39.5
43.428,39.5
44.924,39.5
46.422,39.44
47.918,39.44
49.414,39.44
50.911,39.44
52.407,39.44
53.903,39.44
55.4,39.44
56.896,39.44
58.392,39.44
59.889,39.44
61.385,39.5
62.881,39.44
64.378,39.44
65.874,39.5
67.371,39.5
68.868,39.44
70.364,39.5
71.86,39.5
73.357,39.44
74.853,39.44
76.349,39.5
77.846,39.5
79.342,39.44
80.838,39.44
82.335,39.44
83.831,39.44
85.327,39.44
86.824,39.44
88.321,39.44
89.818,39.5
91.314,39.44
92.81,39.44
94.306,39.44
95.803,39.44
97.299,39.44
98.795,39.44
100.292,39.38
101.788,39.38
103.285,39.44
104.781,39.44
106.277,39.44
107.774,39.38
109.271,39.38
110.767,39.38
112.264,39.38
113.76,39.38
115.257,39.38
116.753,39.38
118.249,39.25
119.746,38.94
121.242,38.63
122.738,40.5
124.235,42.56
125.732,44.06
127.229,45.5
128.728,46.56
130.226,47.5
131.724,48.38
133.223,49.31
134.721,50.06
136.22,50.69
137.719,51.19
139.218,51.63
140.719,52.0
142.218,52.25
143.717,52.5
145.217,52.75
146.716,52.88
148.216,53.06
149.715,53.25
151.216,53.38
152.716,53.5
154.216,53.56
155.715,53.63
157.215,53.69
158.715,53.75
160.216,53.75
161.715,53.81
163.215,53.81
164.715,53.88
166.215,53.81
167.714,53.81
169.214,53.81
170.715,53.81
172.215,53.81
173.715,53.81
175.214,53.75
176.714,53.75
178.214,53.75
179.715,53.75
181.214,53.69
182.714,53.63
184.214,53.5
185.713,53.44
187.213,53.44
188.713,53.25
190.214,53.0
191.713,52.5
193.212,52.06
194.712,51.63
196.211,50.94
197.71,50.06
199.208,49.25
200.708,48.56
202.206,48.0
203.704,47.56
205.202,47.13
206.7,46.69
208.198,46.38
209.696,46.13
211.194,45.88
212.692,45.69
214.19,45.38
215.688,45.25
217.186,45.13
218.683,45.06
220.181,44.94
221.678,44.88
223.176,44.75
224.673,44.69
226.171,44.63
227.668,44.56
229.167,44.56
230.664,44.5
232.161,44.44
233.659,44.44
235.156,44.38
236.653,44.38
238.151,44.25
239.648,44.31
241.145,44.31
242.643,44.25
244.141,44.19
245.638,44.25
247.136,44.25
248.633,44.19
250.13,44.13
251.628,44.19
253.125,44.13
254.622,44.19
256.119,44.19
257.617,44.13
259.115,44.13
260.612,44.13
262.11,44.13
263.607,44.13
265.104,44.13
266.602,44.13
268.099,44.06
269.596,44.06
271.094,44.06
272.591,44.06
274.088,44.06
275.586,44.06
277.084,44.06
278.581,44.06
280.078,44.0
281.576,44.06
283.073,44.06
284.57,44.06
286.068,44.06
287.565,44.06
289.062,44.06
290.561,44.06
292.058,44.0
293.555,44.06
295.053,44.0
296.55,44.06
298.047,44.06
299.544,44.0
301.042,44.0
302.539,44.06
304.036,44.0
305.534,44.06
307.032,44.0
308.529,44.0
310.027,44.0
311.524,44.0
313.021,43.94
314.519,43.94
316.016,44.0
317.513,44.0
319.011,44.0
320.508,44.0
322.006,43.94
323.503,43.94
325.001,43.94
326.498,43.94
327.995,44.0
329.493,43.94
330.99,43.94
332.487,43.94
333.985,43.94
335.482,43.94
336.979,43.94
338.477,43.94
339.975,43.94
341.472,43.94
342.969,43.94
344.467,44.0
345.964,43.94
347.461,44.0
348.959,43.88
350.456,43.94
351.953,43.88
353.451,43.94
354.949,43.88
356.446,43.94
357.943,43.88
359.441,43.88
360.938,43.88
362.435,43.88
363.932,43.81
365.43,43.81
366.927,43.81
368.424,43.81
369.923,43.75
371.42,43.75
372.917,43.75
374.414,43.75
375.912,43.75
377.409,43.75
